"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"SP94","MICHAEL SNELSON","DALE WATSON","CRAIG CONOVER","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP"
"SP95","AMANDA MILLER","skipped","skipped","skipped","skipped","skipped","skipped"
"SP96","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER","CRAIG CONOVER"
"SP97","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","CRAIG CONOVER","MARCIA CONOVER-HARRIS"
"SP98","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped","skipped"
"SP99","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","skipped","skipped"
"SP100","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","skipped","skipped"
"SP101","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","XIMENA M. BISHOP","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON"
"SP102","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","skipped","skipped"
"SP103","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP104","MICHAEL SNELSON","DALE WATSON","CRAIG CONOVER","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP"
"SP105","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","DALE WATSON","AMANDA MILLER"
"SP106","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG CONOVER","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON","AMANDA MILLER"
"SP107","CRAIG CONOVER","AMANDA MILLER","DALE WATSON","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","XIMENA M. BISHOP"
"SP108","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP109","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","skipped"
"SP110","XIMENA M. BISHOP","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON"
"SP111","DALE WATSON","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped"
"SP112","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP113","CRAIG JENSEN","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
