"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
"LE9444","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","skipped","skipped"
"LE9445","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","MICHELLE MILES","skipped","skipped","skipped","skipped"
"LE9446","PAUL HANCOCK","MICHELLE MILES","MONTANE C HAMILTON","LORI MCINTOSH LE","AARON BULLEN","NICOLE KUNZE","CHRIS CONDIE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9447","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE9448","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9449","MICHELLE MILES","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped"
"LE9450","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON","ETHAN M. ERICKSON"
"LE9451","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped"
"LE9452","AARON BULLEN","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9453","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","LORI MCINTOSH LE","MONTANE C HAMILTON","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9454","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","MONTANE C HAMILTON"
"LE9455","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT","AARON BULLEN","CHRIS CONDIE","MICHELLE MILES","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON"
"LE9456","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","NICOLE KUNZE","MONTANE C HAMILTON","LORI MCINTOSH LE","CHRIS CONDIE","PAUL HANCOCK"
"LE9457","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped"
"LE9458","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK"
"LE9459","CAMI PURTSCHERT","PAUL HANCOCK","ETHAN M. ERICKSON","MONTANE C HAMILTON","NICOLE KUNZE","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES"
"LE9460","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK"
"LE9461","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9462","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE"
"LE9463","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9464","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN","CHRIS CONDIE","MONTANE C HAMILTON","PAUL HANCOCK","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9465","MONTANE C HAMILTON","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","CAMI PURTSCHERT","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE9466","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK"
"LE9467","overvote","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9468","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9469","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON","skipped","skipped","skipped","skipped","skipped"
"LE9470","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9471","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE"
"LE9472","CAMI PURTSCHERT","AARON BULLEN","LORI MCINTOSH LE","ETHAN M. ERICKSON","MONTANE C HAMILTON","NICOLE KUNZE","MICHELLE MILES","PAUL HANCOCK","CHRIS CONDIE"
"LE9473","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","PAUL HANCOCK","AARON BULLEN","CHRIS CONDIE","ETHAN M. ERICKSON"
"LE9474","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","AARON BULLEN"
"LE9475","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped"
"LE9476","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9477","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE9478","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK"
"LE9479","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9480","CHRIS CONDIE","MONTANE C HAMILTON","NICOLE KUNZE","CAMI PURTSCHERT","ETHAN M. ERICKSON","MICHELLE MILES","LORI MCINTOSH LE","PAUL HANCOCK","AARON BULLEN"
"LE9481","MONTANE C HAMILTON","LORI MCINTOSH LE","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9482","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT"
"LE9483","LORI MCINTOSH LE","PAUL HANCOCK","CHRIS CONDIE","MONTANE C HAMILTON","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9484","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","MICHELLE MILES","ETHAN M. ERICKSON","AARON BULLEN","CAMI PURTSCHERT"
"LE9485","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9486","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9487","NICOLE KUNZE","CHRIS CONDIE","MONTANE C HAMILTON","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9488","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9489","MICHELLE MILES","NICOLE KUNZE","AARON BULLEN","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE9490","MONTANE C HAMILTON","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE9491","CAMI PURTSCHERT","CHRIS CONDIE","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON","AARON BULLEN","PAUL HANCOCK","MONTANE C HAMILTON"
"LE9492","PAUL HANCOCK","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON","CHRIS CONDIE","MONTANE C HAMILTON","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT"
"LE9493","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9494","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","MONTANE C HAMILTON","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE9495","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","AARON BULLEN","skipped","skipped","skipped"
"LE9496","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9497","overvote","skipped","skipped","skipped","skipped","skipped","skipped","skipped","ETHAN M. ERICKSON"
"LE9498","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9499","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","CAMI PURTSCHERT","AARON BULLEN","MONTANE C HAMILTON","PAUL HANCOCK","ETHAN M. ERICKSON","CHRIS CONDIE"
"LE9500","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","NICOLE KUNZE","ETHAN M. ERICKSON","CHRIS CONDIE","MONTANE C HAMILTON"
"LE9501","PAUL HANCOCK","AARON BULLEN","CHRIS CONDIE","ETHAN M. ERICKSON","CAMI PURTSCHERT","MONTANE C HAMILTON","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE"
"LE9502","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON","AARON BULLEN","MICHELLE MILES"
"LE9503","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","LORI MCINTOSH LE","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9504","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","AARON BULLEN","skipped","NICOLE KUNZE","ETHAN M. ERICKSON","MONTANE C HAMILTON","MICHELLE MILES"
"LE9505","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","MICHELLE MILES","MONTANE C HAMILTON","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON","MICHELLE MILES"
"LE9506","PAUL HANCOCK","ETHAN M. ERICKSON","AARON BULLEN","NICOLE KUNZE","CAMI PURTSCHERT","LORI MCINTOSH LE","MONTANE C HAMILTON","CHRIS CONDIE","MICHELLE MILES"
"LE9507","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","NICOLE KUNZE","ETHAN M. ERICKSON","AARON BULLEN","MICHELLE MILES"
"LE9508","CAMI PURTSCHERT","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","MONTANE C HAMILTON"
"LE9509","PAUL HANCOCK","MONTANE C HAMILTON","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE9510","MONTANE C HAMILTON","ETHAN M. ERICKSON","PAUL HANCOCK","AARON BULLEN","LORI MCINTOSH LE","CHRIS CONDIE","NICOLE KUNZE","MICHELLE MILES","CAMI PURTSCHERT"
"LE9511","CHRIS CONDIE","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","AARON BULLEN","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE9512","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9513","MICHELLE MILES","MONTANE C HAMILTON","MICHELLE MILES","MONTANE C HAMILTON","NICOLE KUNZE","MICHELLE MILES","MONTANE C HAMILTON","NICOLE KUNZE","NICOLE KUNZE"
"LE9514","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9515","LORI MCINTOSH LE","PAUL HANCOCK","CHRIS CONDIE","MICHELLE MILES","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON"
"LE9516","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","CAMI PURTSCHERT","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE9517","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON","CHRIS CONDIE","CAMI PURTSCHERT","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN"
"LE9518","CHRIS CONDIE","MICHELLE MILES","PAUL HANCOCK","AARON BULLEN","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE9519","MICHELLE MILES","ETHAN M. ERICKSON","CHRIS CONDIE","AARON BULLEN","CAMI PURTSCHERT","MONTANE C HAMILTON","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE"
"LE9520","MONTANE C HAMILTON","MICHELLE MILES","AARON BULLEN","PAUL HANCOCK","CAMI PURTSCHERT","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE9521","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON"
"LE9522","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN","CAMI PURTSCHERT","MONTANE C HAMILTON","PAUL HANCOCK","ETHAN M. ERICKSON","CHRIS CONDIE"
"LE9523","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN","CAMI PURTSCHERT","MONTANE C HAMILTON","PAUL HANCOCK","ETHAN M. ERICKSON","CHRIS CONDIE"
"LE9524","NICOLE KUNZE","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9525","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","CHRIS CONDIE","CAMI PURTSCHERT","AARON BULLEN","MONTANE C HAMILTON","PAUL HANCOCK","ETHAN M. ERICKSON"
"LE9526","PAUL HANCOCK","MICHELLE MILES","CHRIS CONDIE","CAMI PURTSCHERT","AARON BULLEN","NICOLE KUNZE","LORI MCINTOSH LE","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE9527","PAUL HANCOCK","MICHELLE MILES","CHRIS CONDIE","CAMI PURTSCHERT","AARON BULLEN","NICOLE KUNZE","LORI MCINTOSH LE","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE9528","CAMI PURTSCHERT","CHRIS CONDIE","LORI MCINTOSH LE","ETHAN M. ERICKSON","MONTANE C HAMILTON","NICOLE KUNZE","PAUL HANCOCK","AARON BULLEN","MICHELLE MILES"
"LE9529","CAMI PURTSCHERT","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9530","CAMI PURTSCHERT","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","MONTANE C HAMILTON","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","ETHAN M. ERICKSON"
"LE9531","CAMI PURTSCHERT","CHRIS CONDIE","MONTANE C HAMILTON","ETHAN M. ERICKSON","LORI MCINTOSH LE","NICOLE KUNZE","PAUL HANCOCK","AARON BULLEN","MICHELLE MILES"
"LE9532","MONTANE C HAMILTON","LORI MCINTOSH LE","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9533","LORI MCINTOSH LE","CAMI PURTSCHERT","PAUL HANCOCK","NICOLE KUNZE","MONTANE C HAMILTON","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON","MICHELLE MILES"
"LE9534","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","NICOLE KUNZE","AARON BULLEN","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE9535","AARON BULLEN","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9536","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9537","LORI MCINTOSH LE","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON","AARON BULLEN","CAMI PURTSCHERT","MICHELLE MILES"
"LE9538","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE9539","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","MONTANE C HAMILTON","PAUL HANCOCK"
"LE9540","LORI MCINTOSH LE","PAUL HANCOCK","AARON BULLEN","CHRIS CONDIE","MICHELLE MILES","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9541","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9542","LORI MCINTOSH LE","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","AARON BULLEN","MONTANE C HAMILTON","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9543","MICHELLE MILES","ETHAN M. ERICKSON","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9544","CAMI PURTSCHERT","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","MONTANE C HAMILTON","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK"
"LE9545","LORI MCINTOSH LE","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE9546","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","CHRIS CONDIE","CAMI PURTSCHERT","PAUL HANCOCK","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9547","PAUL HANCOCK","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","CHRIS CONDIE","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE9548","NICOLE KUNZE","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9549","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","ETHAN M. ERICKSON"
"LE9550","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT","LORI MCINTOSH LE","AARON BULLEN","ETHAN M. ERICKSON","CHRIS CONDIE","MONTANE C HAMILTON","PAUL HANCOCK"
"LE9551","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","CHRIS CONDIE","skipped","MICHELLE MILES","ETHAN M. ERICKSON","NICOLE KUNZE","CHRIS CONDIE"
"LE9552","CAMI PURTSCHERT","NICOLE KUNZE","PAUL HANCOCK","MICHELLE MILES","MONTANE C HAMILTON","LORI MCINTOSH LE","AARON BULLEN","CHRIS CONDIE","ETHAN M. ERICKSON"
"LE9553","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","MICHELLE MILES","NICOLE KUNZE","AARON BULLEN","LORI MCINTOSH LE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE9554","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","PAUL HANCOCK","ETHAN M. ERICKSON","MICHELLE MILES","NICOLE KUNZE","MONTANE C HAMILTON"
"LE9555","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9556","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","MONTANE C HAMILTON","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE9557","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","ETHAN M. ERICKSON","MICHELLE MILES","MONTANE C HAMILTON","AARON BULLEN","NICOLE KUNZE"
"LE9558","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","CAMI PURTSCHERT","ETHAN M. ERICKSON","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON"
"LE9559","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE9560","overvote","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9561","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE9562","CHRIS CONDIE","CAMI PURTSCHERT","NICOLE KUNZE","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","ETHAN M. ERICKSON","MONTANE C HAMILTON","LORI MCINTOSH LE"
"LE9563","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN"
"LE9564","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN"
"LE9565","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON"
"LE9566","AARON BULLEN","CHRIS CONDIE","ETHAN M. ERICKSON","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT"
"LE9567","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9568","MICHELLE MILES","AARON BULLEN","MONTANE C HAMILTON","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK"
"LE9569","NICOLE KUNZE","MICHELLE MILES","ETHAN M. ERICKSON","CHRIS CONDIE","CAMI PURTSCHERT","LORI MCINTOSH LE","AARON BULLEN","MONTANE C HAMILTON","PAUL HANCOCK"
"LE9570","CHRIS CONDIE","CAMI PURTSCHERT","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","ETHAN M. ERICKSON"
"LE9571","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","skipped","skipped","skipped","skipped"
"LE9572","MONTANE C HAMILTON","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9573","PAUL HANCOCK","CHRIS CONDIE","MONTANE C HAMILTON","NICOLE KUNZE","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE9574","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","ETHAN M. ERICKSON","CAMI PURTSCHERT","MONTANE C HAMILTON","PAUL HANCOCK"
"LE9575","CHRIS CONDIE","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","AARON BULLEN","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE9576","MICHELLE MILES","AARON BULLEN","LORI MCINTOSH LE","ETHAN M. ERICKSON","skipped","skipped","skipped","skipped","skipped"
"LE9577","PAUL HANCOCK","MONTANE C HAMILTON","CAMI PURTSCHERT","LORI MCINTOSH LE","MICHELLE MILES","CHRIS CONDIE","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE9578","ETHAN M. ERICKSON","AARON BULLEN","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","MONTANE C HAMILTON","MICHELLE MILES","PAUL HANCOCK"
"LE9579","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","NICOLE KUNZE","ETHAN M. ERICKSON","MONTANE C HAMILTON","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT"
"LE9580","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE9581","PAUL HANCOCK","MONTANE C HAMILTON","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped"
"LE9582","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped"
"LE9583","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","LORI MCINTOSH LE","MONTANE C HAMILTON"
"LE9584","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
