"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
"LE6664","CAMI PURTSCHERT","LORI MCINTOSH LE","MICHELLE MILES","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","skipped","skipped","skipped"
"LE6665","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6666","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON"
"LE6667","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6668","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE6669","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","ETHAN M. ERICKSON"
"LE6670","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE6671","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6672","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","PAUL HANCOCK","AARON BULLEN"
"LE6673","LORI MCINTOSH LE","CHRIS CONDIE","CAMI PURTSCHERT","AARON BULLEN","PAUL HANCOCK","NICOLE KUNZE","MICHELLE MILES","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE6674","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE6675","AARON BULLEN","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","MONTANE C HAMILTON","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON"
"LE6676","CAMI PURTSCHERT","LORI MCINTOSH LE","MONTANE C HAMILTON","MICHELLE MILES","NICOLE KUNZE","ETHAN M. ERICKSON","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK"
"LE6677","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON"
"LE6678","NICOLE KUNZE","MICHELLE MILES","CAMI PURTSCHERT","CHRIS CONDIE","LORI MCINTOSH LE","AARON BULLEN","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE6679","CHRIS CONDIE","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6680","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped"
"LE6681","LORI MCINTOSH LE","CHRIS CONDIE","MICHELLE MILES","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","ETHAN M. ERICKSON","AARON BULLEN","MONTANE C HAMILTON"
"LE6682","CHRIS CONDIE","AARON BULLEN","NICOLE KUNZE","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE6683","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON","CAMI PURTSCHERT","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON"
"LE6684","CHRIS CONDIE","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE"
"LE6685","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6686","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6687","LORI MCINTOSH LE","MONTANE C HAMILTON","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6688","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","ETHAN M. ERICKSON","NICOLE KUNZE","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON","PAUL HANCOCK"
"LE6689","CAMI PURTSCHERT","LORI MCINTOSH LE","ETHAN M. ERICKSON","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON"
"LE6690","CHRIS CONDIE","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON","CAMI PURTSCHERT","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE"
"LE6691","PAUL HANCOCK","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","CHRIS CONDIE","CAMI PURTSCHERT","NICOLE KUNZE","AARON BULLEN","ETHAN M. ERICKSON"
"LE6692","MONTANE C HAMILTON","CAMI PURTSCHERT","AARON BULLEN","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","CHRIS CONDIE","ETHAN M. ERICKSON","PAUL HANCOCK"
"LE6693","MICHELLE MILES","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6694","PAUL HANCOCK","MICHELLE MILES","CHRIS CONDIE","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","LORI MCINTOSH LE","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE6695","CAMI PURTSCHERT","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6696","LORI MCINTOSH LE","ETHAN M. ERICKSON","NICOLE KUNZE","CAMI PURTSCHERT","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES"
"LE6697","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","PAUL HANCOCK","skipped","CHRIS CONDIE","MICHELLE MILES","ETHAN M. ERICKSON","AARON BULLEN"
"LE6698","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","PAUL HANCOCK","AARON BULLEN","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE6699","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT","ETHAN M. ERICKSON","AARON BULLEN","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE"
"LE6700","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE6701","NICOLE KUNZE","CAMI PURTSCHERT","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK","AARON BULLEN","ETHAN M. ERICKSON","CHRIS CONDIE"
"LE6702","CAMI PURTSCHERT","ETHAN M. ERICKSON","MONTANE C HAMILTON","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK"
"LE6703","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON","skipped","skipped","skipped"
"LE6704","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6705","MONTANE C HAMILTON","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","CHRIS CONDIE","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON"
