"Index","rank1","rank2","rank3","rank4"
"GE175","GRANT LUNDBERG","HALE ROBISON","skipped","skipped"
"GE176","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE177","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE178","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE179","DARON S. HUGHES","skipped","skipped","skipped"
"GE180","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE181","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE182","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
"GE183","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE184","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE185","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE186","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE187","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE188","DARON S. HUGHES","skipped","HALE ROBISON","GRANT LUNDBERG"
"GE189","DARON S. HUGHES","skipped","HALE ROBISON","GRANT LUNDBERG"
"GE190","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE191","skipped","DARON S. HUGHES","skipped","skipped"
"GE192","DARON S. HUGHES","GRANT LUNDBERG","skipped","skipped"
"GE193","HALE ROBISON","skipped","skipped","skipped"
"GE194","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE195","HALE ROBISON","skipped","skipped","skipped"
"GE196","GRANT LUNDBERG","DARON S. HUGHES","skipped","HALE ROBISON"
"GE197","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE198","HALE ROBISON","skipped","skipped","skipped"
"GE199","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE200","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE201","skipped","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES"
"GE202","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE203","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE204","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON","skipped"
"GE205","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE206","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE207","DARON S. HUGHES","GRANT LUNDBERG","skipped","HALE ROBISON"
"GE208","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG","skipped"
"GE209","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE210","HALE ROBISON","DARON S. HUGHES","skipped","skipped"
"GE211","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE212","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE213","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE214","overvote","HALE ROBISON","skipped","skipped"
"GE215","GRANT LUNDBERG","HALE ROBISON","skipped","DARON S. HUGHES"
"GE216","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE217","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE218","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON","skipped"
"GE219","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE220","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE221","DARON S. HUGHES","GRANT LUNDBERG","skipped","skipped"
"GE222","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE223","skipped","DARON S. HUGHES","GRANT LUNDBERG","HALE ROBISON"
"GE224","skipped","DARON S. HUGHES","HALE ROBISON","GRANT LUNDBERG"
"GE225","DARON S. HUGHES","skipped","skipped","skipped"
"GE226","HALE ROBISON","skipped","DARON S. HUGHES","GRANT LUNDBERG"
"GE227","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE228","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE229","skipped","skipped","skipped","skipped"
"GE230","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE231","skipped","skipped","skipped","skipped"
"GE232","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE233","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE234","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE235","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE236","HALE ROBISON","DARON S. HUGHES","skipped","GRANT LUNDBERG"
"GE237","HALE ROBISON","skipped","skipped","skipped"
"GE238","DARON S. HUGHES","skipped","skipped","skipped"
"GE239","DARON S. HUGHES","skipped","skipped","skipped"
"GE240","GRANT LUNDBERG","skipped","HALE ROBISON","DARON S. HUGHES"
"GE241","GRANT LUNDBERG","DARON S. HUGHES","skipped","HALE ROBISON"
"GE242","DARON S. HUGHES","GRANT LUNDBERG","DARON S. HUGHES","HALE ROBISON"
"GE243","GRANT LUNDBERG","DARON S. HUGHES","skipped","HALE ROBISON"
"GE244","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE245","GRANT LUNDBERG","HALE ROBISON","DARON S. HUGHES","skipped"
"GE246","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG","skipped"
"GE247","HALE ROBISON","GRANT LUNDBERG","skipped","DARON S. HUGHES"
"GE248","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE249","HALE ROBISON","GRANT LUNDBERG","DARON S. HUGHES","skipped"
"GE250","skipped","HALE ROBISON","DARON S. HUGHES","GRANT LUNDBERG"
